datetime,seed,model_type,dataset_name,ansatz,batch_size,epochs,average_time_per_epoch,input_dim,depth,num_classes,train_acc,train_prec,train_rec,train_f1,train_losses,val_acc,val_prec,val_rec,val_f1,val_losses,test_acc,test_prec,test_rec,test_f1,test_loss,circuit_fp,params_fp
2025-07-29 14:38:43,0,quantum,wine,"HEA (y, z)",32,30,71.4255,8,2,3,0.6509,0.651,0.6414,0.6438,"[1.0928, 1.0789, 1.0643, 1.0514, 1.0482, 1.0496, 1.0354, 1.0291, 1.0316, 1.0244, 1.0227, 1.0166, 1.0134, 1.0219, 1.0167]",0.3333,0.369,0.3206,0.3287,"[1.099, 1.0867, 1.0846, 1.0729, 1.0702, 1.0798, 1.0929, 1.0877, 1.0813, 1.0833, 1.0922, 1.0844, 1.0888, 1.0859, 1.0923]",0.3333,0.3552,0.3222,0.3325,1.0925,"results/root-x86_64/schemas/wine/seed_0/HEA (y, z)_8q_circuit.qpy","results/root-x86_64/schemas/wine/seed_0/HEA (y, z)_8q_params.json"
2025-07-29 15:15:20,0,quantum,wine,WI-PQC (E) (greedy),32,30,73.2301,8,0,3,0.6038,0.605,0.6136,0.6036,"[1.0889, 1.0807, 1.0644, 1.0514, 1.0527, 1.0461, 1.0449, 1.0443, 1.0377, 1.0327, 1.0293, 1.0312, 1.0374, 1.0345, 1.0303]",0.4167,0.4472,0.4341,0.4215,"[1.0848, 1.0744, 1.0836, 1.0882, 1.0992, 1.092, 1.0896, 1.0853, 1.0788, 1.0724, 1.0848, 1.102, 1.0916, 1.0773, 1.0826]",0.4167,0.4182,0.4315,0.423,1.0817,results/root-x86_64/schemas/wine/seed_0/WI-PQC (E) (greedy)_8q_circuit.qpy,results/root-x86_64/schemas/wine/seed_0/WI-PQC (E) (greedy)_8q_params.json
2025-07-29 15:51:04,0,quantum,wine,"WI-PQC (E) (greedy, top_half)",32,30,71.4436,8,0,3,0.5943,0.5893,0.5839,0.5824,"[1.0862, 1.076, 1.0689, 1.0727, 1.0664, 1.0536, 1.0497, 1.0418, 1.0433, 1.0472, 1.0526, 1.0441, 1.0448, 1.043, 1.037]",0.3056,0.2803,0.323,0.2808,"[1.0995, 1.1119, 1.1397, 1.1327, 1.1096, 1.1072, 1.0931, 1.0849, 1.0821, 1.0927, 1.102, 1.1237, 1.1081, 1.0936, 1.104]",0.4167,0.4231,0.4259,0.4145,1.0955,"results/root-x86_64/schemas/wine/seed_0/WI-PQC (E) (greedy, top_half)_8q_circuit.qpy","results/root-x86_64/schemas/wine/seed_0/WI-PQC (E) (greedy, top_half)_8q_params.json"
2025-07-29 16:27:35,0,quantum,wine,"WI-PQC (E) (greedy, cosine_norm)",32,30,73.0034,8,0,3,0.6887,0.6864,0.6886,0.6856,"[1.0845, 1.067, 1.0541, 1.0553, 1.0493, 1.0486, 1.0468, 1.0431, 1.0318, 1.0294, 1.0315, 1.0324, 1.0255, 1.0272, 1.0139]",0.3611,0.3517,0.3841,0.3615,"[1.1, 1.0837, 1.085, 1.0776, 1.1014, 1.0978, 1.1002, 1.1125, 1.1105, 1.1024, 1.108, 1.1169, 1.1134, 1.0976, 1.0973]",0.5278,0.5357,0.5204,0.5264,1.0697,"results/root-x86_64/schemas/wine/seed_0/WI-PQC (E) (greedy, cosine_norm)_8q_circuit.qpy","results/root-x86_64/schemas/wine/seed_0/WI-PQC (E) (greedy, cosine_norm)_8q_params.json"
2025-07-29 17:03:50,0,quantum,wine,"WI-PQC (E) (mwst, cosine_norm)",32,30,72.4743,8,0,3,0.6604,0.6539,0.6589,0.6549,"[1.0835, 1.071, 1.0515, 1.044, 1.0447, 1.0355, 1.0357, 1.0315, 1.0273, 1.029, 1.028, 1.0359, 1.0217, 1.0206, 1.0162]",0.5278,0.5366,0.5183,0.5213,"[1.0701, 1.08, 1.0978, 1.0816, 1.0683, 1.0558, 1.0636, 1.0658, 1.072, 1.0713, 1.08, 1.061, 1.0543, 1.0673, 1.0676]",0.3333,0.3238,0.3185,0.3192,1.1003,"results/root-x86_64/schemas/wine/seed_0/WI-PQC (E) (mwst, cosine_norm)_8q_circuit.qpy","results/root-x86_64/schemas/wine/seed_0/WI-PQC (E) (mwst, cosine_norm)_8q_params.json"
2025-07-29 17:40:05,0,quantum,wine,"WI-PQC (W+E, chunking)",32,30,72.4616,8,0,3,0.6038,0.6037,0.6057,0.6023,"[1.0939, 1.0764, 1.0717, 1.0695, 1.0546, 1.0525, 1.0475, 1.0479, 1.04, 1.0433, 1.0343, 1.026, 1.0229, 1.0227, 1.0269]",0.4167,0.4161,0.4286,0.4183,"[1.1129, 1.0744, 1.0918, 1.0698, 1.0804, 1.075, 1.0813, 1.0735, 1.0701, 1.0633, 1.0733, 1.0768, 1.0842, 1.0871, 1.0886]",0.2778,0.2718,0.2944,0.2776,1.1138,"results/root-x86_64/schemas/wine/seed_0/WI-PQC (W+E, chunking)_8q_circuit.qpy","results/root-x86_64/schemas/wine/seed_0/WI-PQC (W+E, chunking)_8q_params.json"
2025-07-29 18:16:39,0,quantum,wine,"WI-PQC (W+E, svd)",32,30,73.1147,8,0,3,0.6132,0.63,0.6176,0.6157,"[1.0968, 1.0814, 1.0627, 1.0567, 1.0526, 1.0463, 1.0371, 1.0356, 1.0388, 1.0346, 1.0369, 1.0376, 1.0434, 1.0398, 1.0342]",0.2778,0.2897,0.269,0.2713,"[1.0988, 1.1085, 1.1012, 1.0913, 1.0869, 1.0865, 1.0919, 1.0925, 1.0747, 1.0786, 1.0882, 1.0944, 1.0908, 1.0897, 1.1081]",0.4167,0.4259,0.4,0.4061,1.0824,"results/root-x86_64/schemas/wine/seed_0/WI-PQC (W+E, svd)_8q_circuit.qpy","results/root-x86_64/schemas/wine/seed_0/WI-PQC (W+E, svd)_8q_params.json"
2025-07-29 19:08:39,0,quantum,wine,"WI-PQC (W1+W2+E, chunking)",32,30,103.9956,8,0,3,0.6887,0.6855,0.687,0.6849,"[1.0789, 1.071, 1.0574, 1.0574, 1.0462, 1.0372, 1.0182, 1.0222, 1.0147, 1.0162, 1.0207, 1.0186, 1.0208, 1.011, 1.0151]",0.3889,0.3889,0.3952,0.3904,"[1.0929, 1.0868, 1.0872, 1.0866, 1.0926, 1.0781, 1.0722, 1.0747, 1.0827, 1.07, 1.0719, 1.0791, 1.0662, 1.0898, 1.0764]",0.4444,0.4443,0.4722,0.4502,1.0673,"results/root-x86_64/schemas/wine/seed_0/WI-PQC (W1+W2+E, chunking)_8q_circuit.qpy","results/root-x86_64/schemas/wine/seed_0/WI-PQC (W1+W2+E, chunking)_8q_params.json"
2025-07-29 20:00:46,0,quantum,wine,"WI-PQC (W1+W2+E, svd)",32,30,104.1847,8,0,3,0.5943,0.5957,0.5934,0.5898,"[1.0738, 1.063, 1.061, 1.0503, 1.0464, 1.0422, 1.0416, 1.0443, 1.0243, 1.0315, 1.0242, 1.033, 1.0298, 1.0375, 1.0268]",0.3889,0.3444,0.4127,0.3642,"[1.1031, 1.0881, 1.0788, 1.0934, 1.1058, 1.103, 1.1053, 1.0795, 1.0736, 1.0728, 1.0801, 1.081, 1.0684, 1.0788, 1.063]",0.4722,0.4586,0.4685,0.4503,1.0739,"results/root-x86_64/schemas/wine/seed_0/WI-PQC (W1+W2+E, svd)_8q_circuit.qpy","results/root-x86_64/schemas/wine/seed_0/WI-PQC (W1+W2+E, svd)_8q_params.json"
2025-07-29 20:04:21,0,quantum,wine,Random PQC,32,30,7.1499,8,2,3,0.3585,0.3444,0.3467,0.3447,"[1.1021, 1.1043, 1.0999, 1.0996, 1.0935, 1.1035, 1.0958, 1.0962, 1.1031, 1.1019, 1.1003, 1.1018, 1.1013, 1.1005, 1.0985]",0.2778,0.2768,0.2786,0.2773,"[1.1024, 1.1133, 1.1082, 1.1015, 1.0952, 1.1063, 1.1134, 1.0978, 1.1173, 1.0977, 1.0892, 1.1044, 1.0933, 1.0961, 1.1002]",0.3056,0.2997,0.3074,0.2908,1.1061,results/root-x86_64/schemas/wine/seed_0/Random PQC_8q_circuit.qpy,results/root-x86_64/schemas/wine/seed_0/Random PQC_8q_params.json
